"Hospital Name","Hospital Number","Hospital address","O2units Available","ICU with ventilators","Last Updated"
" Nayagram Super Speciality Hospital (Government Hospital)","Phone: 9732151852","Address: Kharikamathani, Nayagram , Jhargram, Pin - 721159 , JHARGRAM","9","5","Last updated 14 days ago"
" Nandigram SSH (Government Hospital)","Phone: 9932393704","Address: PO Nandigram PIN 721631 , PURBA MEDINIPUR","0","2","Last updated 14 days ago"
" ESI Hospital Asansol (Government Hospital)","Phone: 9433369067","Address: Sen Raliegh Rd, Gobindapur, Asansol, West Bengal 713305 , PASCHIM BARDHAMAN","4","0","Last updated 14 days ago"
" T L Jaiswal SGH (Government Hospital)","Phone: 6290449155","Address: 182, Naskar Para Road, Surendranagar, Ghusuri, Surendranagar, Liluah, Howrah, West Bengal 711107, India","100","3","Last updated 14 days ago"
" Apollo Gleneagles Hospital (Private Hospital (Self Run))","Phone: 9804000416 9804000246 8 PM to 8AM and Sundays and Holidays 9804000461","Address: 58, Canal Circular Rd, Kadapara, Kankurgachi, Kolkata, West Bengal 700054 , KOLKATA METROPOLITAN AREA","4","2","Last updated 14 days ago"
" Uttarpara State General Hospital (Government Hospital)","Phone: 7605059328","Address: RPM Road, Uttarpara, Kotrung, Hooghly, West Bengal 712258, India","40","0","Last updated 15 days ago"
" Ghatal Sub Divisional Hospita cum SSH (Government Hospital)","Phone: 9635803484","Address: 63 Raja bazar, Raja Bazar, Midnapore, West Bengal 721101, India","0","0","Last updated 15 days ago"
" RAGHUNATHPUR COVID HOSPITAL (Government Hospital)","Phone: 8597376921","Address: RAGHUNATHPUR , PURULIA","36","0","Last updated 15 days ago"
" Apex Institute of Medical Sciences (Private Hospital (Self Run))","Phone: 033 7125 6666","Address: 1219, PG Survey Park Road, Sammilani Park Rd, near Big Bazar, Hiland Park, Survey Park, Santoshpur, Kolkata, West Bengal 700075 , KOLKATA METROPOLITAN AREA","24","0","Last updated 15 days ago"
" ISPAT COOPERATIVE HOSPITAL (Private Hospital (Self Run))","Phone: 8001257528","Address: P.O.+VILL. - KALIKAPUR, P.S. - SONARPUR , DAKSHIN 24 PARGANA","5","1","Last updated 15 days ago"
" Gopiballavpur Super Speciality Hospital (Government Hospital)","Phone: 9339689886","Address: Gopiballavpur, Jhargram, Pin- 721506 , JHARGRAM","22","0","Last updated 15 days ago"
" Avalon Hospital (Private Hospital (Self Run))","Phone: 7908393625","Address: Paribahan Nagar, Matigara , DARJEELING","7","0","Last updated 15 days ago"
" Sagardighi SSH (Government Hospital)","Phone: 8777396885","Address: SAGARDIGHI, MURSHIDABAD , MURSHIDABAD","100","0","Last updated 16 days ago"
" Arambagh Sub-Divisional Hospital (Government Hospital)","Phone: 7605059328","Address: Arambagh Station Road, Arambag, West Bengal 712601, India","60","5","Last updated 17 days ago"
" Kandi Sub-Divisional Hospital (Government Hospital)","Phone: 7318746550","Address: Kandi, PO-Kandi , PIN-742137 , MURSHIDABAD","20","0","Last updated 17 days ago"
" Maharaja Agrasen Hospital (Private Hospital (Self Run))","Phone: 1800212111222, 7477717802,9800585000","Address: Fulbari, Beside, Fulbari Truck Terminus, Dist, Siliguri, West Bengal 734015, India","20","0","Last updated 18 days ago"
" Malda Eden Nursing Home (Private Hospital (Self Run))","Phone: 9474649220/9733951713","Address: Gabgachi Jadupur, Kamalabari, English Bazar, Malda , MALDA","0","3","Last updated 18 days ago"
" MANOKAMNA HOSPITAL (Private Hospital (Self Run))","Phone: 9434086154","Address: ISKCON MANDIR ROAD,SEVOKE ROAD, Bidyapati Sarani, Ward 41, Bankim Nagar, Siliguri, West Bengal 734001, India","20","5","Last updated 19 days ago"
" Gouri Devi Hospital and Research Institute (Private Hospital (Self Run))","Phone: 9064461129","Address: GT Road, National Highway 2, Rajbandh, Durgapur, West Bengal 713212, India","27","14","Last updated 19 days ago"
" Katwa Sub-Divisional Hospital (Government Hospital)","Phone: 9734991686, 7001395934, 03453-255060","Address: Katwa, West Bengal 713130, India","20","0","Last updated 21 days ago"
" Krishi Bhawan (Government Hospital)","Phone: 9339633887","Address: Burdwan District Court Compound, Kachhari Road, Badamtala, Kalibazar, Bardhaman, West Bengal 713103, India","34","0","Last updated 21 days ago"
" CHITTARANJAN ADVANCED MEDICAL REFERRAL INSTITUTE- A UNIT OF BURDWAN DIAGNOSTIC RESEARCH CENTRE PVT. LTD. (Private Hospital (Self Run))","Phone: 9233361670","Address: 838, Bamchandaipur, P.O.- Joteram, P.S.- Burdwan, Joteram - 713104 , PURBA BARDHHAMAN","10","2","Last updated 21 days ago"
" Dishan Nursing Home (Private Hospital (Self Run))","Phone: 9851669877, 7384311461","Address: Nababhat More, GT Road , PURBA BARDHHAMAN","1","1","Last updated 21 days ago"
" Dreamland Nursing Home (Private Hospital (Self Run))","Phone: 9474964775","Address: 962/1, Indraprastha, Rajbati, Burdwan- 713104 , PURBA BARDHHAMAN","10","5","Last updated 21 days ago"
" Burdwan Medical College and Hospital (Government Hospital)","Phone: 8972793553","Address: opp. Shyam Sayer, Khosbagan, Bardhaman, West Bengal 713104, India","210","5","Last updated 21 days ago"
" BIMS Hospital (Private Hospital (Self Run))","Phone: 9232146170","Address: 294, GT Road, Bhangakuthi, Rajbati, Burdwan- 713104 , PURBA BARDHHAMAN","20","3","Last updated 21 days ago"
" Burdwan Critical Care Unit Pvt. Ltd. (Private Hospital (Self Run))","Phone: 9434177774","Address: 32,7 RB Ghosh Road, Burdwan - 713101 , PURBA BARDHHAMAN","24","1","Last updated 21 days ago"
" Bengal Faith Hospital (Private Hospital (Self Run))","Phone: 7596073422, 8420382000","Address: GT Road, Goda , PURBA BARDHHAMAN","0","0","Last updated 21 days ago"
" Adarsh Nursing Home (Private Hospital (Self Run))","Phone: 9434358232","Address: 84, BC Road, Sulipukur, Rajbati, Burdwan - 713104 , PURBA BARDHHAMAN","8","0","Last updated 21 days ago"
" Annapurna Nursing Home (Private Hospital (Self Run))","Phone: 7908978011","Address: Garh More, NH2 Bypass Road. Uttara Bus Stand, Fagupur, Burdwan- 713101 , PURBA BARDHHAMAN","13","2","Last updated 21 days ago"
" Asha Nursing Home Diagnostic Centre and Polyclinic (Private Hospital (Self Run))","Phone: 9732075276","Address: Nawabhat, G.T. Road (Near Bank of India), Purba Bardhaman (W.B) , PURBA BARDHHAMAN","4","0","Last updated 21 days ago"
" K P C Medical College and Hospital Govt Requisitioned (Govt. Requisitioned Pvt. Hospital)","Phone: 03340449700 Extn117","Address: 1F, Raja Subodh Chandra Mallick Rd, Jadavpur, Kolkata, West Bengal 700032, India","181","3","Last updated 22 days ago"
" Spandan Hospital (Private Hospital (Self Run))","Phone: 03340045511","Address: 17, 1, VIP Rd, opp. Big Bazar, Raghunathpur, Baguihati, Kolkata, West Bengal 700059, India","10","1","Last updated 23 days ago"
" Sterling Hospital (Private Hospital (Self Run))","Phone: 9883356623","Address: Burnpur Road, Near Court More, Asansol Court Area, Asansol, West Bengal 713304, India","11","2","Last updated 23 days ago"
" INTEGRATED AYUSH HOSPITAL, TAPSIKATHA (Government Hospital)","Phone: 9836055469","Address: TOPSIKHATA,ALIPURDUAR-1 , ALIPURDUAR","24","7","Last updated 23 days ago"
" DARJEELING DISTRICT HOSPITAL (Government Hospital)","Phone: 03542251555","Address: 63a, HD Lama Rd, Chauk Bazaar, Darjeeling, West Bengal 734101, India","20","5","Last updated 24 days ago"
" NETAJI SUBHASH SANATORIUM HOSPITAL (Government Hospital)","Phone: 7605036189","Address: T.B. HOSPITAL, BLOCK - A, P.O. + P.S.- KALYANI, WEST BENGAL, PIN- 741251 , NADIA","80","10","Last updated 25 days ago"
" Desun Hospital (Private Hospital (Self Run))","Phone: 9051640000","Address: Kawakhali, North Bengal Medical College Road, Kawakhali, Pin- 734012 , DARJEELING","25","5","Last updated 25 days ago"
" KASTURI DAS MEMORIAL SUPER SPECIALITY HOSPITAL - KASTURI DAS MEMORIAL SUPER SPECIALITY HOSPITAL SATELLITE CENTRE (Satellite Hotel)","Phone: 6292259651","Address: 8/1E,D.H.ROAD,KOLKATA-700027 , DAKSHIN 24 PARGANA","0","0","Last updated 25 days ago"
" KASTURI DAS MEMORIAL SUPER SPECIALITY HOSPITAL (Private Hospital (Self Run))","Phone: 033-71200000,6289473636,9883015977","Address: MOLLAR GATE, MAHESTALA, KOLKATA 700142 , DAKSHIN 24 PARGANA","40","6","Last updated 25 days ago"
" Imambara District Hospital, Hooghly (Government Hospital)","Phone: 7605059328","Address: Hospital Road, Chinsurah, Hooghly , West Bengal 712102 , HOOGHLY","72","0","Last updated 25 days ago"
" COVID Unit BSMCH (Government Hospital)","Phone: 9434231480","Address: Bankura Medical College , Kenduadihi , BANKURA","157","20","Last updated 26 days ago"
" Bishnupur Super Speciality Hospital (Government Hospital)","Phone: 8637836997","Address: Ahalla Bai Rd, Krishna Ganj, Bishnupur, West Bengal 722122, India","45","5","Last updated 27 days ago"
" JEEBAN SURAKSHA HOSPITAL PVT.LTD (Private Hospital (Self Run))","Phone: 8617560711","Address: KATJURI DANGA, CHHATNA ROAD, BANKURA , BANKURA","18","3","Last updated 27 days ago"
" Satyabala IDH (Government Hospital)","Phone: 9073770989","Address: 233, Grand Trunk Rd, Surendranagar, Liluah, Howrah, West Bengal 711204, India","15","0","Last updated 27 days ago"
" COVID HOSPITAL SSH SURI (Government Hospital)","Phone: 9434220944","Address: Suri Sadar hospital , BIRBHUM","180","15","Last updated 28 days ago"
" Zenith Super Specialist Hospital A Unit of JMD Hospital Pvt Ltd (Private Hospital (Self Run))","Phone: 9830887974","Address: 9, 3, Feeder Rd, Rathtala, Belghoria, Kolkata, West Bengal 700056, India","10","2","Last updated 28 days ago"
" KAKDWIP SUPERSPECIALITY HOSPITAL (Government Hospital)","Phone: 8348670855","Address: Hospital road, Kakdwip, West Bengal 743347, India","54","0","Last updated 29 days ago"
" Burnpur Hospital (Government Hospital)","Phone: 9434776841","Address: Burnpur, Asansol, West Bengal 713325, India","60","12","Last updated 29 days ago"
" College of Medicine Sagore Dutta Hospital (Government Hospital)","Phone: 033-25531316 /033-25239058","Address: Kamarhati, Kolkata, West Bengal 700058, India","0","0","Last updated about 1 month ago"
" MAHARAJA JITENDRA NARAYAN MEDICAL COLLEGE HOSPITAL (Government Hospital)","Phone: 7605041535","Address: Silver Jubilee Rd, Cooch Behar, West Bengal 736101, India","46","40","Last updated about 1 month ago"
" Gobardanga COVID Hospital (Government Hospital)","Phone: 7605057323/ 7605057313/ 9804950032","Address: Gobardanga, West Bengal 743252, India","0","0","Last updated about 1 month ago"
" Gouri Devi Institute of Medical Sciences Hospital Private Paid Facility (Private Hospital (Self Run))","Phone: 9083249541","Address: Durgapur , PASCHIM BARDHAMAN","40","3","Last updated about 1 month ago"
" Natya Utkarshya Kendra (Government Hospital)","Phone: 9064140556","Address: Dakshin Dinajpur, Opp Court, Chakbhabani, Balurghat, West Bengal 733101, India","29","2","Last updated about 1 month ago"
" Care and Cure Nursing Home (Private Hospital (Self Run))","Phone: 9735971993","Address: Village Gabgachi, PO Jadupur, Near State Bank of India , MALDA","5","0","Last updated about 1 month ago"
" Serampore Sub-Divisional Hospital (Government Hospital)","Phone: 7605059328","Address: 22A, TC Goswami St, Serampore, West Bengal 712201, India","50","0","Last updated about 1 month ago"
" Asansol District Hospital (Government Hospital)","Phone: 0341-2304040","Address: SB Gorai Rd, Hamid Nagar, Asansol, West Bengal 713301, India","176","0","Last updated about 1 month ago"
" Global Nursing Home (Private Hospital (Self Run))","Phone: 9800858132","Address: Debidanga , Near IOC Petrol Pump , Siliguri ,Pin-734003 , DARJEELING","3","0","Last updated about 1 month ago"
" Chandannagar Sub Divisional Hospital (Government Hospital)","Phone: 7605059328","Address: Helapukur Rd, Last French Colony, Chandannagar, Sarishapara, Chinsurah, West Bengal 712136, India","0","0","Last updated about 1 month ago"
" Life Line Medical Research And Cancer Institute (Private Hospital (Self Run))","Phone: 7477789999","Address: NH 31 BYEPASS SEVOKE ROAD NEAR BHAKTINAGAR POLICE STATION, SILIGURI, JALPAIGURI , JALPAIGURI","0","0","Last updated about 1 month ago"
" The Mission Hospital, Durgapur (Private Hospital (Self Run))","Phone: 9800881677","Address: Immon Kalyan, Saptarshi Sarani, Sector IIC, Bidhannagar, Durgapur, West Bengal 713212, India","10","0","Last updated about 1 month ago"
" Midnapore Medical Collge Hospital (Government Hospital)","Phone: 03222222454","Address: Vidyasagar Rd, Midnapore, West Bengal 721101, India","57","13","Last updated about 1 month ago"
" NORTH BENGAL MEDICAL COLLEGE AND HOSPITAL (Government Hospital)","Phone: 8348810772","Address: SUSHATRANAGAR DIST DARJELING , DARJEELING","110","30","Last updated about 1 month ago"
" BALURGHAT DISTRICT HOSPITAL (Government Hospital)","Phone: 339676475","Address: BALURGHAT , DAKSHIN DINAJPUR","0","0","Last updated about 1 month ago"
" Fortis Hospital Anandapur Category Private Hospital Govt. Requisitioned (Govt. Requisitioned Pvt. Hospital)","Phone: 033-6628 4646","Address: Eastern Metropolitan Bypass, Anandapur, East Kolkata Twp, Kolkata, West Bengal , KOLKATA METROPOLITAN AREA","3","0","Last updated about 1 month ago"
" RAIGANJ GOVERNMENT MEDICAL COLLEGE AND HOSPITAL (Government Hospital)","Phone: 7479000192","Address: Dr. B.C. Roy, Rabindra Sarani Rd, College Para, Raiganj, West Bengal 733134, India","0","5","Last updated about 1 month ago"
" P K SAHA NURSING HOME (Private Hospital (Self Run))","Phone: 7797863330","Address: Bairagi Dighi, Bylane, Cooch Behar, West Bengal 736101, India","46","7","Last updated about 2 months ago"
" BANKURA SEVA NIKETAN HOSPITAL (Private Hospital (Self Run))","Phone: 7797701790","Address: PATPUR, JAIL ROAD, BANKURA , BANKURA","2","1","Last updated about 2 months ago"
" NABADWIP STATE GENERAL HOSPITAL (Government Hospital)","Phone: 7797035615","Address: 56, PRATAPNAGAR, NABADWIP, NADIA, PIN- 741302 , NADIA","25","0","Last updated about 2 months ago"
" Jhargram District Hospital (Government Hospital)","Phone: 6297478368","Address: Jhargram District Hospital campus, Raghunathpur, Jhargram, 721507 , JHARGRAM","160","0","Last updated about 2 months ago"
" Covid Hospital, Night Shelter (Government Hospital)","Phone: 6297478368","Address: Main Road, Ghoradhara, Jhargram, West Bengal 721507, India","70","5","Last updated about 2 months ago"
" ONDA SUPER SPECIALITY HOSPITAL (Government Hospital)","Phone: 8350057933","Address: Kushte, West Bengal 722144, India","0","0","Last updated about 2 months ago"
" Gangarampur Sub Divisional Hospital (Government Hospital)","Phone: 9593165100","Address: Kaldighi, PS: Gangarampur , DAKSHIN DINAJPUR","21","0","Last updated about 2 months ago"
" Salboni SSH Covid Hospital (Government Hospital)","Phone: 9883133020","Address: Salboni, Paschim Medinipur , PASCHIM MEDINIPUR","150","0","Last updated about 2 months ago"
" AMRI, Salt Lake (Private Hospital (Self Run))","Phone: 033 6606-3800","Address: 16 17, JC Block Lane, Central Park Road Broadway Road, stadium gate number 3, opposite salt lake, Sector III, Bidhannagar, Kolkata, West Bengal 700098 , KOLKATA METROPOLITAN AREA","0","3","Last updated about 2 months ago"
" Calcutta National Medical College and Hospital (Government Hospital)","Phone: 91634 21886","Address: 32 Gora Chand Road Beniapukur Kolkata West Bengal 700014 , KOLKATA METROPOLITAN AREA","146","5","Last updated about 2 months ago"
" TRIVENI COVID HOSPITAL (Government Hospital)","Phone: 9832748207","Address: Teesta Valley Forest, West Bengal, Pin-734317 , KALIMPONG","0","4","Last updated about 2 months ago"
" ANANDALOKE MEDICAL CENTRE PVT LTD (Private Hospital (Self Run))","Phone: 9749077467,8116603554,891869792","Address: Paresh Nagar, Sevoke Rd, Ward 44, Dasrath Pally, 2nd Mile, Siliguri, West Bengal 734001, India","9","5","Last updated about 2 months ago"
" CHITTARANJAN NATIONAL CANCER INSTITUTE-CNCI (Government Hospital)","Phone: 033 247655102/6289726011","Address: 700156, Street Number 299, DJ Block(Newtown), Action Area I, Newtown, New Town, West Bengal 700156, India","154","0","Last updated about 2 months ago"
" K. S. ROY T B HOSPITAL (Government Hospital)","Phone: 9903966397","Address: No.1019 Dr Kumud Shankar Ray Rd K P C Medical College and Hospital Campus, Jadavpur, Kolkata, West Bengal 700032, India","130","0","Last updated about 2 months ago"
" Howrah DH (Government Hospital)","Phone: 9051550993","Address: 10, 11 Biplabi haren, Pratap Ghosh Sarani, Howrah Railway Station, Howrah, West Bengal 711101, India","20","0","Last updated about 2 months ago"
" MATHABHANGA SUB DIVISIONAL HOSPITAL (Government Hospital)","Phone: 9641363961","Address: Hospital Rd, Deshbondhu Para, Subhash Pally, Chhat Khaterbari, West Bengal 736146, India","0","0","Last updated about 2 months ago"
" Lila Hospital Pvt. Ltd. (Private Hospital (Self Run))","Phone: 9382865730","Address: 30 C R Das Road, Berhampore , MURSHIDABAD","33","0","Last updated about 2 months ago"
" Bhatpara State General Hospital (Government Hospital)","Phone: 9163068021","Address: 116, Mulazore Road, PO+PS- Jagaddal, North 24 Parganas, Pin-743125 , UTTAR 24 PARGANA","10","0","Last updated about 2 months ago"
" Medical College and Hospital, Kolkata, (Government Hospital)","Phone: 033 22551614 /033 22551621","Address: 88, College St, Calcutta Medical College, College Square, Kolkata, West Bengal 700073, India","321","35","Last updated about 2 months ago"
" Nil Ratan Sarkar Medical College and Hospital (Government Hospital)","Phone: 033 2286 0033 /033 2286-0103-08","Address: 138, Acharya Jagadish Chandra Bose Rd, Sealdah, Raja Bazar, Kolkata, West Bengal 700014, India","122","4","Last updated about 2 months ago"
" Durgapur Sub-Divisional Hospital (Government Hospital)","Phone: 8900010989","Address: Dr Zakir Hussain Avenue, Bidhannagar, 713206 , PASCHIM BARDHAMAN","21","3","Last updated 2 months ago"
" Baltikuri ESI Covid Hospital (Government Hospital)","Phone: 8240235865","Address: Baltikuri, P.O, Bankra, Howrah, West Bengal 711403, India","170","24","Last updated 2 months ago"
" SHAKTINAGAR ZILLA HOSPITAL (Government Hospital)","Phone: 7548975285","Address: T. D. BANERJEE ROAD, SHAKTINAGAR, KRISHNANAGAR, NADIA, WEST BENGAL, PIN-741102 , NADIA","46","0","Last updated 2 months ago"
" ALIPURDUAR DISTRICT HOSPITAL (Government Hospital)","Phone: 9677028903","Address: ALIPURDUAR , ALIPURDUAR","10","0","Last updated 2 months ago"
" Touch Nursing Home, COVID Hospital (Private Hospital (Self Run))","Phone: 03561-222522","Address: Netaji Subhash Chandra Bose Rd, Rajbari Para, Jalpaiguri, West Bengal 735101 , JALPAIGURI","15","0","Last updated 2 months ago"
" Old Matri Sadan Hospital (Government Hospital)","Phone: 8695900500","Address: Khagra, Berhampore, West Bengal 742101, India","137","14","Last updated 2 months ago"
" Dr. B. N. Bose SDH Barrackpore (Government Hospital)","Phone: 9903129985","Address: B.T. Road, Talpukur, Kolkata-700123 , UTTAR 24 PARGANA","60","0","Last updated 2 months ago"
" BHARAT SEVASRAM SANGHA HOSPITAL (Private Hospital (Self Run))","Phone: 9073368550,7980337486","Address: D.H.ROAD, JOKA , DAKSHIN 24 PARGANA","16","2","Last updated 2 months ago"
" Heritage Hospital (Private Hospital (Self Run))","Phone: 9002370351/7908873883","Address: 446/N, Burdwan Road, Near Darjeeling Automobile, Siliguri, Pin- 734005 , DARJEELING","10","0","Last updated 2 months ago"
" Dr.Malays Hospital and Neurosciences centre Pvt Ltd (Private Hospital (Self Run))","Phone: 03532500129","Address: Jalpaimore,Station feeder Road. Siliguri 5 , DARJEELING","0","8","Last updated 2 months ago"
" Ashokenagar State General Hospital (Government Hospital)","Phone: 8145404375","Address: Ashoknagar, West Bengal 743222, India","60","0","Last updated 2 months ago"
" KURSEONG SUB DIVISIONAL HOSPITAL (Government Hospital)","Phone: 9679742995","Address: Burdawan Rd, Kurseong, West Bengal 734203, India","4","0","Last updated 2 months ago"
" HOLY PALACE CHRISTIAN HOSPITAL (Private Hospital (Self Run))","Phone: 7431009332,9593632922","Address: LALPUL,NAXALBARI,DIST DARJEELING PIN734429 , DARJEELING","10","0","Last updated 2 months ago"
" Covid Hospital, Night Shelter - Covid Hospital, Working Womens Hostel (Satellite Hospital)","Phone: 8250995342","Address: Working Womens Hostel, Old Jhargram, 721507 , JHARGRAM","80","0","Last updated 3 months ago"
" Jangipur Sub-Divisional Hospital (Government Hospital)","Phone: 8391023096","Address: PO+PS - RAGHUNATHGANJ, MURSHIDABAD - 742225 , MURSHIDABAD","40","0","Last updated 3 months ago"
" Baruipur COVID Hospital (Government Hospital)","Phone: 9432582068","Address: Baruipur, West Bengal 700144, India","98","0","Last updated 3 months ago"
