"Hospital Name","Hospital Number","Hospital address","O2units Available","ICU with ventilators","Last Updated"
" Gaikwad Diabetes Centre","Phone: 9421806795","Address: Bhosari","0","2","Last updated about 2 months ago"
" Gangotri Hospital, Dighi","Phone: 9850612005","Address: Dighi","15","0","Last updated about 2 months ago"
" Global Multispeciality Hospital, Dighi","Phone: 7796696655","Address: Near Vitthal Mandir, Dighi","12","0","Last updated about 2 months ago"
" Helios Bharti Hospital, Kalewadi","Phone: 9075513707","Address: secand & third Floor Shama Arcade s.no.111,Hissa No.10A,cts no.7891 Rahatni Pune","2","0","Last updated about 2 months ago"
" Jaihind Hospital, Bhosari","Phone: 8788218882","Address: Bhosari","6","1","Last updated about 2 months ago"
" Life Care Hospital, Chikhali","Phone: 9503189884","Address: Chikhali Pune","18","0","Last updated about 2 months ago"
" Lunkad Hospital, Dapodi","Phone: 9922441225","Address: Mumbai Pune Highway, Near Honda Showroom Dapodi","4","0","Last updated about 2 months ago"
" Mankikar Hospital, Bhsoari","Phone: 2027120049","Address: Mankikar Hospital, D M Chamber, Pune Nashik Road, Bhosari, Pune - 411039, Near PNG, Above Rupee Bank","6","0","Last updated about 2 months ago"
" Moon MultispecialityÂHospital, Chikhali","Phone: 9561044751","Address: Chikhali Alandi Road Chikhali Pune 62","27","1","Last updated about 2 months ago"
" Nandedkar Multispeciality Hospital, Thergaon","Phone: 9960889451","Address: Near 16 No.BRT Bus stop, Thergaon, Pune -33","12","0","Last updated about 2 months ago"
" Niramay Hospital, Chinchwad","Phone: 27607777","Address: Niramay Hospital, Survey No. 4742 Behind Jai Hind Petrol pump Next, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019","16","4","Last updated about 2 months ago"
" Nrusinnha Hospital, Dapodi","Phone: 8446668877","Address: Dapodi","5","1","Last updated about 2 months ago"
" Om Hospital, Hutatma Chowk, Bhosari","Phone: 8888825600","Address: Om Hospital ,Hutatam Chowk, Alandi Rd, Bhosari, Pune 411 039","18","4","Last updated about 2 months ago"
" Omkar MS Hospital, Bijlinagar","Phone: 9096089725","Address: Survey No 60/1/1a, Bijali Nagar Rd, Chinchwad, Pune - 411033, Nr New English School Bijali Nagar","5","4","Last updated about 2 months ago"
" Onkar Hospital, Pimple Gurav","Phone: 9119571968","Address: Onkar Hospital, Pimple Gurav","6","1","Last updated about 2 months ago"
" Orchid Hospital, Thergaon","Phone: 9096089725","Address: Sr.no.8, Ashoka Hsg.Co.society Near Varroc-Vengaskar Cricket Academy Stadium, Opp. Swiss Country Co-op Hsg Society, Kalewadi, Thergaon, Pimpri-Chinchwad, Maharashtra 411033","14","6","Last updated about 2 months ago"
" Oxycare Hospital, Walhekarwadi","Phone: 9284433625","Address: Walhekarwadi, Sector No. 32, Nigdi, Pimpri-Chinchwad, Maharashtra 411033","8","2","Last updated about 2 months ago"
" Oxycare Multispeciality Hospital Kalewadi","Phone: 8408000020","Address: 75/3/13 Ashwini Colony Kalewadi pUne","8","0","Last updated about 2 months ago"
" Padmaja Hospital, Chinchwad","Phone: 9145045045","Address: Sr. No. 8/2 Walhedajwadi Road, Chinchwade Nagar, Chinchwad, Pune 411 033","8","3","Last updated about 2 months ago"
" Phoenix Hospital, Thergaon","Phone: 9225526566","Address: Rhythum Society Kalewadiphata Pawarnagar Thergaon","51","2","Last updated about 2 months ago"
" Pritam Hospital, Bhosari","Phone: 9766588135","Address: Nashik - Pune Hwy, APTE Colony, Bhosari, Pimpri-Chinchwad, Maharashtra 411039","15","0","Last updated about 2 months ago"
" Pulse MS Hospital, Tathawade","Phone: 8805991414","Address: s.no.66/1,Lande Building,Tathawade, Chowk,Pune 33","14","2","Last updated about 2 months ago"
" Pune International Burns & Cosmetic Center, Bhosari","Phone: 9822094249","Address: Pune International Burns & Cosmetic Center, 'Shivganga' Chandani Chowk, Pune Nashik Road, Bhosari, Pune-","7","0","Last updated about 2 months ago"
" Rainbow Hospital, Kalewadi","Phone: 9511223623","Address: Below Vaijnath Bank, Tapkir Chowk, Kalewadi, Pune 17","15","0","Last updated about 2 months ago"
" Rainbow Multispeciality Hosp, Krushna Nagar, Chinchwad","Phone: 9545438058","Address: Plot no 6, Secor no 20, Om Sai Market Krushna Nagar Akurdi 19","4","1","Last updated about 2 months ago"
" Ruby Ailcare Services Pvt. Ltd","Phone: 9130813823","Address: 1st floor, 150 No. YCMH , Sant tukaram Nagar, Pimpri Pune- 411018","0","9","Last updated about 2 months ago"
" Sai Speciality Hospital, Chikhali","Phone: 9226093506","Address: Sane chowk,Chikali Road , Morewasti, krushnanagar/ Koyananagar, Pimpri-Chinchwad, Chikhli road, Akurdi, Pune, Maharashtra 411019","15","4","Last updated about 2 months ago"
" Sanjeevani Hospital, Chikhali","Phone: 8149091707","Address: Plot no 168 Sc. 19 Pradhikaran, sane Chowk","10","0","Last updated about 2 months ago"
" Sevadharam Hospital, Moshi","Phone: 9822022868","Address: LLp Plot No 1, sector-9, sant nagar, spine road, PCNTDA, Moshi, Pune 412105","26","0","Last updated about 2 months ago"
" Shende Hospital, Pimple Saudagar","Phone: 9822246881","Address: Plot No, 613 B, Kashinath Kadam Rd, Sindhu Nagar, Sector 25, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044","8","1","Last updated about 2 months ago"
" Shree Anand Memorial Hospital, Thegaon","Phone: 9309125521","Address: Dange Chowk Road, Vandev Nagar, opposite Royal Court, Thergaon, Pimpri-Chinchwad, Maharashtra 411033","50","0","Last updated about 2 months ago"
" Shree Krupa Multispeciality Hospital, Kalewadi","Phone: 9860492631","Address: Vijay Nagar Kalewadi 17","5","0","Last updated about 2 months ago"
" Shri Nageshwar Surgical and General Hospital, Moshi","Phone: 9172242754","Address: Shri Nageshwar surgical and General Hospital, Moshi Chikhali","12","0","Last updated about 2 months ago"
" Shri Sai Seva Hospital, Sant Tuakram Nagar","Phone: 9561363382","Address: Shri Sai Seva Hospital, Om Sai Park Sant Tukaram Nagar, Bhosari","6","0","Last updated about 2 months ago"
" Shri Samarth MS Hospital, Pimple Gurav","Phone: 9960783902","Address: Opp Neeluphule Natyaguh, Near Katepuram Chowk, Pimple Gurav","8","1","Last updated about 2 months ago"
" Siddhi Hospital Dighi","Phone: 7722030304","Address: Gavali Corner Near Siddheshwar Highschool, Dighi","17","0","Last updated about 2 months ago"
" Snehbandh Multispeciality Hospital","Phone:","Address:","13","1","Last updated about 2 months ago"
" Sonali Memorial Hospital,Dange Chouk","Phone: 7020500448","Address: Near, Dange Chowk Rd, near dhaije school, Gujar Nagar, Jai Hind nagar, Thergaon, Pune, Maharashtra 411033","25","2","Last updated about 2 months ago"
" Spandan Hopsital, Thergaon","Phone: 8850121797","Address: Sr no 19-3 plot no A-1 Bhoir Plaza, Dange Chowk Rd, Pune, Maharashtra 411033","22","2","Last updated about 2 months ago"
" Star Hospital, Akurdi","Phone: 9822122888","Address: Yash Towers, Akurdi Hospital Shop No.1, oppo bank of Maharashtra, Old Mumbai - Pune Hwy, Akurdi Gaothan, Vivek Nagar, Akurdi, Pune, Maharashtra 411035","31","13","Last updated about 2 months ago"
" Star Speciality Hospital. Moshi","Phone: 7020260819","Address: Star Hospital, borhadewasti Moshi, Pune","4","0","Last updated about 2 months ago"
" Sterling Multispeciality Hospital, Akurdi","Phone: 9850933512","Address: Near, Sector 27, Sant Dyaneshwar Chowk, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044","30","11","Last updated about 2 months ago"
" Sunil Wankhede Multispeciality Hospital","Phone: 9112210227","Address: Vikas Naggar Kiwale, Dehuroad Pune 412101","3","1","Last updated about 2 months ago"
" Surya Hospital, Krishna Nagar","Phone: 9922926844","Address: Om sai market, B wing, sec.No.20 Krishna nagar Chikhli Road Chinchwad Pune 19","10","2","Last updated about 2 months ago"
" Tambekar Hospital, Chikhali","Phone: 7709123192","Address: Pooja Mangal Karyalay, Sonawane Wasti Road, Chikhali","8","2","Last updated about 2 months ago"
" Triveni Hospital, Walhekarwadi","Phone: 9921880101","Address: Aga Coloney Near Aher Garden Walhekarwadi Chinchwad Pune 33","10","1","Last updated about 2 months ago"
" Unity Hospital, Dudulgaon","Phone: 8668872330","Address: oshi Alandi Road , Yogeshwar heights , dudhulgaon , tal _haveli, Dist, Pune, Maharashtra 412105","6","0","Last updated about 2 months ago"
" Vatsalya Children Hosp, Dange Chowk","Phone: 8975768407","Address: Khinwasara Trade Center, 1st & 2nd floor, ????? ?????, Dange Chowk Rd, Mangal Nagar, Thergaon, Pune, Maharashtra 411033","10","1","Last updated about 2 months ago"
" Vedant Hospital, MIDC Chinchwad","Phone: 7720005912","Address: Sambhajinagar MIDC Chinchwad","32","3","Last updated about 2 months ago"
" Vital Multispeciality Hospital, Pimpri","Phone: 2027438888","Address: Plot 127, CTS No. 6392, Udyam Nagar, near Anna Saheb Magar stadium, New Telco road, Pimpri, Pune, 411018","28","2","Last updated about 2 months ago"
" New Jijamata Hospital","Phone: 9922501316","Address: 40/662, Shastri Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017","20","0","Last updated about 2 months ago"
" Gharkul B-12, Chikhali (Divine Hosp)","Phone: 9309163248","Address: Gharkul, Chikhali","0","0","Last updated about 2 months ago"
" SKF Copany Guest House (Employee Only)","Phone: 9762888910","Address: SKF Company Campus, Chinchwad","0","0","Last updated about 2 months ago"
" Accord Sant Dnyaneshwar Hospital","Phone: 93709-53474","Address:","4","2","Last updated about 2 months ago"
" Desai Hospital, Bhosari","Phone: 8669665293","Address: no.7, 8, Nashik - Pune Hwy, Near Hotel Haveli, Bhosari, Pune, Maharashtra 411026","15","4","Last updated about 2 months ago"
" Lokmanya Hospital, Chinchwad","Phone: 9881985453","Address: 314 / B, Chinchwad Gaon Rd, Udyog Nagar, Chinchwad, Pune, Maharashtra 411033","72","13","Last updated about 2 months ago"
" AJS City Hospital Thergaon","Phone: 8308081314","Address: Survey No 12/18, Driver colony, Thergaon, Kalewadi Phata, Pune, Maharashtra 411017","14","0","Last updated about 2 months ago"
" Apex Hospital, Kalewadi","Phone: 9588692217","Address: 12, Kalewadi - Rahatani Rd, Kalewadi Phata, Gajanan Nagar, Sulabh Colony, Thergaon, Pimpri-Chinchwad, Maharashtra 411033","4","1","Last updated about 2 months ago"
" Apple Hospital Pimple Nilakh","Phone: 8888568777","Address: S.NO- 26/1/1/2 FLAT NO- 1 TP 7 SHAANTI NIKETAN SOC. WAKAD MAIN ROAD JAGTAP DAIRY PIMPLE NILAKH","20","1","Last updated about 2 months ago"
" Apple Multispeciality Hospital, Chikhali","Phone: 9767589578","Address: 16/2, Dehu - Alandi Rd, Vrindavan Chikhali Patil Nagar, Patilnagar, Gitai Colony, Chikhali, Pimpri-Chinchwad, Maharashtra 412114","4","1","Last updated about 2 months ago"
" Ashraya Hospital, Wakad","Phone: 9860361640","Address: Chamunda Heritage, Survey No 129/1/A/7, Wakad 411057","15","3","Last updated about 2 months ago"
" Bharti Hospital, Pimple Saudagar","Phone: 9975051075","Address: Bharti Hospital, Ganeesham II Near Gold's Gym Pimple Saudagar","7","1","Last updated about 2 months ago"
" Care Lifeline Hospitals, Thergaon","Phone: 7030800300","Address: Sr. No. 5/4/3 Sai Market, Nakhaye Nagsr Sai Mandir, Thergaon","10","0","Last updated about 2 months ago"
" Chest and General Hospital, Indrayani Nagar, Bhosari","Phone: 9850172762","Address: Shubh Complex Near Maharashtra Bank Sec No. 2 Indrayani Nagar Bhosari 41039","18","0","Last updated about 2 months ago"
" Chetna Hospital, MIDC Chinchwad","Phone: 8554990324","Address: Near Rotary Club, MIDC G bLock Chincwad","21","1","Last updated about 2 months ago"
" Citi Care Hospital, Pimpri","Phone: 9834399385","Address: Pimpri","9","1","Last updated about 2 months ago"
" D.Y. Patil Ayurved Hospital, Pimpri","Phone: 7796663366","Address: Dr. D.Y.Patil collage of Ayurved Hospital & Research Center, Pimpri Pune 18","50","2","Last updated about 2 months ago"
" Divine Superspeciality Hospital, Morwadi","Phone: 9284971406","Address: , MIDC Rd, Sector 25, Samrat Chowk, opposite Rama Equator, Morewadi, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411055","15","2","Last updated about 2 months ago"
" Ganadhish Hospital, Chinchwad","Phone: 9823089264","Address: Ganadish Hospital, Chaphekar Chowk Chinchwad 411033","26","0","Last updated about 2 months ago"
" Global Hospital, Wakad","Phone: 9890669565","Address: Pride Purple Square 1st & 2nd Floor, Kalewadi phata, Wakad, Pimpri-Chinchwad, Maharashtra 411057","8","5","Last updated about 2 months ago"
" Golden Care Hosp,Wakad","Phone: 9881268787","Address: S.No. 117/3, Bhumkar wasti, Hinjwadi Raod, Wakad, Pune 57","8","1","Last updated about 2 months ago"
" Gunjkar Multispeciality Hospital, Chikhali","Phone: 9422879755","Address: Shivatej Nagar, Chinchwad, Vitthal Nagar, Maharashtra 411019","45","12","Last updated about 2 months ago"
" Health Care Hospital, Chikhali","Phone: 9665512395","Address: Laxmi Comples In Front of Gajanan Mhetre garden, Chikhali Pune","6","0","Last updated about 2 months ago"
" Jadhav Hospital, Kalewadi","Phone: 9960688789","Address: Tapkir Chowk Kalewadi","7","0","Last updated about 2 months ago"
" Jeevan Hospital Moshi","Phone: 9325780107","Address: Sector no 4 Pune Nashik Highway, Sant Nagar Moshi Pradhikaran","0","0","Last updated about 2 months ago"
" Jeevan Jyoti Hospital, Kalewadi","Phone: 8237026263","Address: Mhaske Complex Opp. Shivratna Hotel Gajanan Nagar Rahatani Kalewadi","30","1","Last updated about 2 months ago"
" Kamthe Hospital, Dighi","Phone: 9834959803","Address: Dharmveer Sambhaji Raje Chowk, Adarsh Nagar, Dighi","6","0","Last updated about 2 months ago"
" Life Care Multispeciality Hospital, Punawale","Phone: 9527765554","Address: Gaikwad Nagar, Punawale","12","0","Last updated about 2 months ago"
" Lifeline Hospital, Bhosari","Phone: 9822420615","Address: Indrayani Nagar, Bhosari, Pune","14","1","Last updated about 2 months ago"
" Lifepoint Hospital, Wakad","Phone: 7447445727","Address: No. 145, Sr, 1, Mumbai Pune Bypass Rd, near Sayaji Hotel, Wakad, pune, Maharashtra 411057","30","5","Last updated about 2 months ago"
" Lokmanya Hospital, Nigdi","Phone: 9850072473","Address: Sector no.24, Tilak Road, Nigdi","28","5","Last updated about 2 months ago"
" Lotus Multispeciality Hospital Pimple Saudagar","Phone: 9823123005","Address: Dwarka Sai Wonders Complex. Shiv Sai road Survey 173, Pimple Saudagar 411027","32","2","Last updated about 2 months ago"
" Mangalmurti Multispeciality Hospital, Ravet","Phone: 9021279938","Address: S. No. 205/1, Anandtara Palekar Niwas, Nr. Sant Tukaram Maharaj Brigde, Ravet, pune - 412101","11","1","Last updated about 2 months ago"
" Mauli Hospital, Talawade","Phone: 9172027447","Address: SNo. 277 Main Road, Rupee Nagar Main Road, Talawade, Pune - 411062, Near Old Gosane Hospital","23","0","Last updated about 2 months ago"
" Max Neuro Hospital, Kasarwadi","Phone: 8390906080","Address: Kasarwadi","3","10","Last updated about 2 months ago"
" Maxcare Hospital, Pimple Saudagar","Phone: 9604536380","Address: Seeta Plaza Opposite Swaraj Garden, Pimple Saudagar","8","0","Last updated about 2 months ago"
" Medilife Hospital, Kalewadi","Phone: 9552530201","Address: Kalewadi","20","2","Last updated about 2 months ago"
" Metro Hospital, Rahatani","Phone: 7722019193","Address: Next to Sitara Garden Suryoday Colony Nakhatewasti Rahatani","2","1","Last updated about 2 months ago"
" Moraya Hospital, Chinchwadgaon","Phone: 9890645648","Address: Gandhi Peth, Prabhat Colony, Chinchwad Gaon, Chinchwad Pimpri-Chinchwad, Maharashtra 411033","15","6","Last updated about 2 months ago"
" New Life Child Hospital, Kalewadi","Phone: 9225526566","Address: Kalewadi Main Rd, Opp. DMart, Shriram Colony, Kalewadi, Pune, Maharashtra 411017","21","0","Last updated about 2 months ago"
" NRS Hopsital, Wakad","Phone: 9881331333","Address: 1st Floor, Solitaire Business Hub Opp Hotel Ambiance, Kalewadi Phata, Wakad, Pune, Maharashtra 411057","0","3","Last updated about 2 months ago"
" Ojas Hospital, Ravet","Phone: 7385159540","Address: Bhondwe chouk, Ravet, DY Patil College Rd, Akurdi, Pune, Maharashtra 412101","50","6","Last updated about 2 months ago"
" Pan Ortho Hospital, Nigdi","Phone: 9112248067","Address: Riddhi Capital, 5, Chhatrapati Sambhaji maharaj Chowk, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411033","25","1","Last updated about 2 months ago"
" Pataskar Nursing Home, Bhosari","Phone: 9422033778","Address: JAI Ganesh Samrajya, Bhosari, Pune - 411039, Pune Nasik Highway Opposite Panjarpol (","5","1","Last updated about 2 months ago"
" Pooja Hospital, Bhosari","Phone: 9011097102","Address: Survey No 201, Sector No 1, Anand Road, Bhosari, Pune - 411039, Near P M T Chowk","10","0","Last updated about 2 months ago"
" Rahane Hospital, Charholi Budruk","Phone: 7588093056","Address: Rahane Hospital, Pune Alandi Road Next to Sai Mandir, Bhosari","10","2","Last updated about 2 months ago"
" Rode Hospital, Dighi","Phone: 9850227365","Address: Sai Park Survey no 84 Dighi Bhosari road 15","10","0","Last updated about 2 months ago"
" Sai Criticare, Kiwale","Phone: 8805986199","Address: C/O Sai Criticare Hospital, 1st Floor, Vartak Nagar-thane West, Thane - 400606, Laxmi Market, Near Canara Bank & Ratnakar Bank","0","10","Last updated about 2 months ago"
" Saksham Hospital, Thergaon","Phone: 9970254593","Address: Aundh Ravet BRT Road, Near Kaveri Nagar Subway, Police Line Corner Near Sonai Mangal Karyalay, Thergaon, Kalewadi, Pimpri-Chinchwad, Maharashtra 411033","2","0","Last updated about 2 months ago"
" Sant Tukaram Multispeciality Shivkrupa Hosp, Chikhali","Phone: 9822737476","Address: gaon,pune 411062, Dehu - Alandi Rd, Vrindavan Chikhali Patil Nagar, chickhali gaon, Chikhali, Pimpri-Chinchwad, Maharashtra 411062","10","1","Last updated about 2 months ago"
" Sarvadnya Multispeciality Hospital, Moshi","Phone: 7218646464","Address: Sable Heights Gat no 284, Bharatmata Chowk dehuroad Moshi","5","1","Last updated about 2 months ago"
" Shree Gajanan Hospital, Bhosari","Phone: 7887884983","Address: Heera Plaza, Vitthal Arcade, Gavhanevasti, Bhosari, Pimpri-Chinchwad, Maharashtra 411039","23","1","Last updated about 2 months ago"
" Shree Hospital, Sangvi","Phone: 9322365446","Address: Shree Hospital & Maternity Home,324, Sangvi Pune 411 027","5","0","Last updated about 2 months ago"
" Shree Multispeciality Hospital and ICU Moshi","Phone: 9881558230","Address: Gat No 284, Moshi Dehuroad","12","2","Last updated about 2 months ago"
" Varad Hospital & Critical Care, Kiwale","Phone: 9960086699","Address: Maalwale Nagar, No. 2, Adarsh Nagar Rd, Kiwale, Ravet, Pimpri-Chinchwad, Maharashtra 412101","9","1","Last updated about 2 months ago"
" Vighnaharta Hospital,Rahatani","Phone: 8668575601","Address: Jyotiba Colony, Somdas Colony Godambe Chauk Opp Starling Blooms Kalewadi Rahatani, Rode, Pimpri-Chinchwad, Maharashtra 411017","15","0","Last updated about 2 months ago"
" smt.Kashibai Navale medical collge and general Hospital ( Narhe Ambegaon )","Phone: 7030010302","Address: S.No, 49/1, Mumbai Pune Bypass Rd, Narhe - ambegaon Pune, Maharashtra 411041","90","12","Last updated about 2 months ago"
" NOBLE HOSPITAL, ( Hadapsar )","Phone: 9823080895","Address: 153, Road, Magarpatta, Hadapsar, Pune, Maharashtra 411013","66","14","Last updated about 2 months ago"
" Chintamani Hospital, Saswad","Phone: 9422005819","Address: Swarna Nagari, Saswad, Maharashtra 412301","24","2","Last updated about 2 months ago"
" Oyster and Pearl Hospital ( Shivajinagar )","Phone: 020-67216620","Address: 1671, 75, Ganeshkhind Rd, Near Hotel Pride, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005","95","5","Last updated about 2 months ago"
" ANAND HOSP ( DHANKAWADI)","Phone: 9822438909,38001","Address: DHANKAWADI PUNE LAST BUS STOP","2","0","Last updated about 2 months ago"
" Naidu Hospital ( Wellesley Rd )","Phone: 9689931118","Address: Behind Pune Main Railway station, off, Wellesley Rd, 411001","108","12","Last updated about 2 months ago"
" Apple Hospital 2 ( Wadgaon Shinde rd, Lohgaon )","Phone: 9271717433","Address: Sr.No.289, Gajanan Mangal Karyalya, Wadgaon Shinde rd, Lohgaon Pune 47","5","0","Last updated about 2 months ago"
" Aura Multispeciality Hospital,Ambegaon","Phone: 9021229340","Address: Fale Nagar, Near Reliance Mall, Dattanagar rd, Ambegaon BK, Pune-411046","20","2","Last updated about 2 months ago"
" KEM HOSPITAL ( Rasta Peth )","Phone: 8788711413","Address: Sardar, K.E.M. Hospital, Mudaliar Rd, Rasta Peth, Pune, Maharashtra 411011","171","17","Last updated about 2 months ago"
" Hope hospital ( New Nana peth )","Phone: 9422007184","Address: 1062, nana peth, rehman chambers, pune 02","5","0","Last updated about 2 months ago"
" Dhanawantari hospital ( Rasta peth )","Phone: 8806666063/26064996/26061519","Address: 339-c, near Rupee Coop Bank, Rasta Peth, Pune, Maharashtra 411011","2","0","Last updated about 2 months ago"
" Surya Prabha Nursing home ( Kothrud )","Phone: 8485841070/74, 8805598244","Address: ENT hospital, plot no 7, gujrat colony , paud rd kothrud pune 38","6","0","Last updated about 2 months ago"
" Sasoon ( Station Rd )","Phone: 02026102205, 02026102550,02026102620, 02026102616","Address: Station Rd, Agarkar Nagar, Pune, Maharashtra 411001","176","59","Last updated about 2 months ago"
" INAMDAR Multi Specialty HOSPITAL ( Fatima Nagar )","Phone: 9822037000/9372600000/ 9372619218","Address: Inamdar Hospital building s No. 15, Fatima Nagar, Pune, Maharashtra 411040","28","0","Last updated about 2 months ago"
" Villoo Poonawala Memorial Hospital ( Hadapsar )","Phone: 7887887053 / 7887800000","Address: S.No.156, Plot No.1/3A+3B/1+2/3, Pune - Solapur Rd, near Savali Corner, Hadapsar, Pune, Maharashtra 411028","19","3","Last updated about 2 months ago"
" INLAKS & BUDHARANI HOSPITAL ( Koregaon park)","Phone: 02066099701/ 02066099717","Address: 7-9, 1st Ln, Vasani Nagar, Koregaon Park, Pune, Maharashtra 411001","124","27","Last updated about 2 months ago"
" Bharati Hospital ( Ayurvedic ) Dhankawadi","Phone: 02040555615","Address: 3, Bharati Vidyapeeth Campus, Dhankawadi, Pune, Maharashtra 411043","12","2","Last updated about 2 months ago"
" KAVADE NURSING HOME ( Uttam nagar )","Phone: 9822523023","Address: UTTAMNAGAR PUNE 411023","8","0","Last updated about 2 months ago"
" AIMS Hospital & Research Center ( Aundh)","Phone: 8554948899/020-67400124","Address: Survey No 154, AIMS Rd, Near AIMS Square, Aundh, Pune, Maharashtra 411007","88","5","Last updated about 2 months ago"
" Bhimashankar Ayurvedic Hospital Research Centre Ambegaon","Phone: 9890276968","Address: Pune","79","1","Last updated about 2 months ago"
" Medipoint hospital ( Aundh)","Phone: 020 67643200","Address: New DP rd aundh baner","40","5","Last updated about 2 months ago"
" Symbiosis Hospital ( Lavale)","Phone: +91 98186 46489, +91 20 6193 0044, +91 866 998 8365","Address: Pune","80","10","Last updated about 2 months ago"
" Shwas Multispeciality Hospital ( ambegaon bk )","Phone: 9373699122","Address: Shiv- Chhaya Complex, near sunbright school, tukaram nagar, ambegaon BK, Pune 46.","29","1","Last updated about 2 months ago"
" RUBY HALL CLINIC ( Sasoon rd )","Phone: 0","Address: 40, Sasoon Rd, Sangamvadi, Pune, Maharashtra 411001","237","41","Last updated about 2 months ago"
" Mathura Hospital ( Yerawada)","Phone: 9822291506, 9960785224","Address: jay javan nagar , yerawada,pune-06","10","0","Last updated about 2 months ago"
" Chandralok hospital ( Bibwewadi)","Phone: 7887881499","Address: chaitrabal apt, bibwewadi, pune 37","5","2","Last updated about 2 months ago"
" Poona Hospital ( Sadashiv Peth )","Phone: 020-66096000","Address: Shivam, 27, Shivram Matre Rd, Nr. Alka Talkies, Ganjwe Wadi, Sadashiv Peth, Pune, Maharashtra 411030","74","9","Last updated about 2 months ago"
" I MAX HOSPITAL WAGHOLI","Phone: 9822247627","Address: WAGHOLI","50","3","Last updated about 2 months ago"
" Rao Nursing Home ( Bibwewadi)","Phone: 9011068866/7385509944","Address: Survey No. 691A-1A-1 CTS No. 1897-B, Pune - Satara Rd, Bibwewadi, Pune, Maharashtra 411037","30","4","Last updated about 2 months ago"
" YASHORAHI MULTISPECILAITY HOSPITAL ( Shivne )","Phone: 9823090327","Address: S.NO.68/1,SHIVKAMAL PRESTIGE , NDA RD, NEAR DUDHANE PETROL PUMP, SHIVANE, PUNE 23","6","0","Last updated about 2 months ago"
" Shashwat Hospital, Aundh","Phone: 9922944083","Address: Next To DAV School, Opposite Aundh Telephone Exchange, Baner DP Road, Aundh, near Gaikwad Petrol Pump, Pune, Maharashtra 411007","40","0","Last updated about 2 months ago"
